Packet Count; Number of Packets;
0 - 50; 0
50 - 100; 0
100 - 150; 0
150 - 200; 0
200 - 250; 0
250 - 300; 0
300 - 350; 0
350 - 400; 0
400 - 450; 0
450 - 500; 0
500 - 550; 0
550 - 600; 0
600 - 650; 19
650 - 700; 11
700 - 750; 9
750 - 800; 17
800 - 850; 8
850 - 900; 12
900 - 950; 16
950 - 1000; 17
1000 - 1050; 14
1050 - 1100; 14
1100 - 1150; 13
1150 - 1200; 12
1200 - 1250; 17
1250 - 1300; 11
1300 - 1350; 12
1350 - 1400; 12
1400 - 1450; 19
1450 - 1500; 12
1500 - 1550; 11
1550 - 1600; 14
1600 - 1650; 11
1650 - 1700; 13
1700 - 1750; 18
1750 - 1800; 7
1800 - 1850; 10
1850 - 1900; 9
1900 - 1950; 11
1950 - 2000; 15
2000 - 2050; 18
2050 - 2100; 9
2100 - 2150; 10
2150 - 2200; 14
2200 - 2250; 20
2250 - 2300; 18
2300 - 2350; 4
2350 - 2400; 16
2400 - 2450; 5
2450 - 2500; 12
2500 - 2550; 12
2550 - 2600; 12
2600 - 2650; 8
2650 - 2700; 17
2700 - 2750; 12
2750 - 2800; 10
2800 - 2850; 7
2850 - 2900; 12
2900 - 2950; 15
2950 - 3000; 5








Packet Size; Number of Packets;
0 - 20; 0
20 - 40; 0
40 - 60; 1039691
60 - 80; 2378
80 - 100; 1423
100 - 120; 937
120 - 140; 635
140 - 160; 478
160 - 180; 386
180 - 200; 297
200 - 220; 211
220 - 240; 222
240 - 260; 164
260 - 280; 149
280 - 300; 106
300 - 320; 96
320 - 340; 93
340 - 360; 73
360 - 380; 74
380 - 400; 60
400 - 420; 57
420 - 440; 70
440 - 460; 46
460 - 480; 33
480 - 500; 38
500 - 520; 40
520 - 540; 27
540 - 560; 27
560 - 580; 22
580 - 600; 25
600 - 620; 32
620 - 640; 26
640 - 660; 26
660 - 680; 21
680 - 700; 25
700 - 720; 22
720 - 740; 20
740 - 760; 22
760 - 780; 25
780 - 800; 20
800 - 820; 17
820 - 840; 16
840 - 860; 10
860 - 880; 12
880 - 900; 10
900 - 920; 12
920 - 940; 16
940 - 960; 11
960 - 980; 9
980 - 1000; 11
1000 - 1020; 7
1020 - 1040; 9
1040 - 1060; 7
1060 - 1080; 6
1080 - 1100; 8
1100 - 1120; 6
1120 - 1140; 5
1140 - 1160; 11
1160 - 1180; 8
1180 - 1200; 7
1200 - 1220; 6
1220 - 1240; 6
1240 - 1260; 3
1260 - 1280; 5
1280 - 1300; 5
1300 - 1320; 6
1320 - 1340; 8
1340 - 1360; 6
1360 - 1380; 5
1380 - 1400; 7
1400 - 1420; 4
1420 - 1440; 6
1440 - 1460; 8
1460 - 1480; 7
1480 - 1500; 278
